Cell1	-347.688202	-686.495728	-67.933922	-277.384003	-765.273865	-188.823944	1388.365112	155.438812	374.828491	60.933910	1083.508667	-327.390167	457.331940	-74.879669	1233.560181	614.326721	1269.515869	724.764221	1028.069580	-594.325500	-931.025818	-411.213287	1090.160767	-10.142015	-761.707947	218.230911	208.901840	-792.335449	-102.676346	-193.629440	-107.086510	-398.995880
Cell2	-272.593079	-517.273987	-66.580643	-206.479507	-563.099121	-154.721100	1008.727539	112.199310	264.519958	53.041721	803.358826	-231.744751	332.060516	-24.314835	870.752258	489.137756	936.992065	503.791046	768.584961	-433.514343	-707.555786	-284.351196	789.732971	-30.210424	-572.190247	143.284775	176.221375	-521.779724	-58.009518	-109.410965	-77.035881	-304.781982
Cell3	-228.507568	-528.715393	19.447197	-122.864075	-500.335968	-178.535858	1014.683716	66.467201	283.649292	75.771477	780.809021	-224.945328	251.143875	-56.414730	886.825073	206.464554	1028.963989	648.702942	764.423401	-437.867004	-559.825684	-245.178391	634.756531	-6.005861	-531.809326	169.564301	153.352432	-641.271301	-8.351620	-67.965851	57.248508	-498.366608
Cell4	-222.662277	-466.985504	-64.237503	-273.297852	-557.392395	-117.289238	980.765869	144.229218	240.619019	30.903545	788.566589	-219.880127	307.738190	-41.087830	869.783142	434.987457	868.478882	489.100647	695.377991	-390.523163	-656.423096	-302.445465	765.896790	12.232856	-520.741699	141.958939	101.830017	-539.005615	-103.769623	-142.890900	-71.597244	-246.776443
Cell5	-200.174728	-422.876221	-81.998230	-216.280762	-477.904419	-130.455627	841.130981	124.600151	192.396027	39.606533	679.974976	-207.514420	301.533081	-23.361454	734.210999	442.115967	761.906677	397.427795	620.544006	-365.460052	-599.176147	-273.499512	685.541626	-27.635561	-469.853302	98.805321	145.511292	-404.423096	-83.816734	-98.179573	-55.418999	-217.258286
Cell6	-192.678528	-389.406464	-26.697041	-166.652023	-435.859589	-119.385345	792.255859	86.946548	191.108795	45.658947	619.187012	-170.061310	234.453079	-15.616745	692.255676	324.841736	727.012024	416.193054	584.263306	-331.908142	-532.804565	-214.772263	603.193481	-14.295079	-424.619904	125.377022	107.146820	-438.190491	-60.081539	-81.565102	-42.612194	-249.083923
Cell7	-265.084320	-496.944458	-72.711983	-222.181717	-546.834656	-131.148056	971.577820	151.451950	276.020050	40.230366	760.401306	-250.424728	332.602417	-39.773277	857.521667	459.510956	886.372803	497.335632	692.378906	-414.273712	-640.578735	-307.936432	761.040161	-5.777898	-538.828186	130.759644	139.588181	-523.972778	-79.610588	-131.750565	-62.664211	-256.454071
Cell8	-126.438606	-254.881256	-2.063107	-91.155548	-280.538361	-73.736839	527.836243	38.739391	137.210205	38.466671	409.181000	-97.383347	136.944977	-19.332634	458.120026	162.725113	512.958191	319.206360	400.296814	-222.898209	-321.889618	-129.780045	351.504669	-4.040969	-282.264862	86.713097	65.752579	-324.020538	-13.908237	-35.159374	8.597690	-223.684998
Cell9	-235.282776	-431.487854	-74.619125	-211.151169	-503.104858	-127.327126	857.046631	145.438721	204.207794	50.844635	668.570923	-219.813538	290.481567	-8.276676	734.497192	436.109375	773.856323	403.831604	601.193604	-363.181793	-595.996094	-267.266724	694.294983	-15.842717	-461.190552	114.357536	121.495766	-411.559418	-89.076790	-87.126862	-65.071129	-216.356201
Cell10	-207.872620	-460.489990	22.892841	-115.717773	-458.266022	-148.701599	921.187439	30.876066	250.262833	73.260918	727.846863	-192.576035	270.528717	-43.154846	812.679199	270.953033	895.997559	580.556580	750.195923	-412.953766	-575.804016	-243.552917	640.707520	-30.733904	-517.224243	178.311752	165.935333	-606.801941	-17.895962	-103.356819	-5.789723	-391.839569
